Building_B_16_1

8
4
17.6	0
17.6	80
17.5	80
17.5	0

52
17.5	80.1
-0.1	80.1
-0.1	-0.1
17.5	-0.1
17.5	0
0	0
0	2.45
12.5	2.45
12.5	2.55
0	2.55
0	4.95
15.05	4.95
15.05	12.5
14.95	12.5
14.95	5.05
0	5.05
0	22.45
14.95	22.45
14.95	15
15.05	15
15.05	30
14.95	30
14.95	22.55
0	22.55
0	39.95
14.95	39.95
14.95	32.5
15.05	32.5
15.05	47.5
14.95	47.5
14.95	40.05
0	40.05
0	57.45
14.95	57.45
14.95	50
15.05	50
15.05	65
14.95	65
14.95	57.55
0	57.55
0	74.95
14.95	74.95
14.95	67.5
15.05	67.5
15.05	75.05
0	75.05
0	77.45
12.5	77.45
12.5	77.55
0	77.55
0	80
17.5	80

4
42.6	0
42.6	80
42.5	80
42.5	0

52
42.5	80.1
24.9	80.1
24.9	-0.1
42.5	-0.1
42.5	0
25	0
25	2.45
37.5	2.45
37.5	2.55
25	2.55
25	4.95
40.05	4.95
40.05	12.5
39.95	12.5
39.95	5.05
25	5.05
25	22.45
39.95	22.45
39.95	15
40.05	15
40.05	30
39.95	30
39.95	22.55
25	22.55
25	39.95
39.95	39.95
39.95	32.5
40.05	32.5
40.05	47.5
39.95	47.5
39.95	40.05
25	40.05
25	57.45
39.95	57.45
39.95	50
40.05	50
40.05	65
39.95	65
39.95	57.55
25	57.55
25	74.95
39.95	74.95
39.95	67.5
40.05	67.5
40.05	75.05
25	75.05
25	77.45
37.5	77.45
37.5	77.55
25	77.55
25	80
42.5	80

4
67.6	0
67.6	80
67.5	80
67.5	0

52
67.5	80.1
49.9	80.1
49.9	-0.1
67.5	-0.1
67.5	0
50	0
50	2.45
62.5	2.45
62.5	2.55
50	2.55
50	4.95
65.05	4.95
65.05	12.5
64.95	12.5
64.95	5.05
50	5.05
50	22.45
64.95	22.45
64.95	15
65.05	15
65.05	30
64.95	30
64.95	22.55
50	22.55
50	39.95
64.95	39.95
64.95	32.5
65.05	32.5
65.05	47.5
64.95	47.5
64.95	40.05
50	40.05
50	57.45
64.95	57.45
64.95	50
65.05	50
65.05	65
64.95	65
64.95	57.55
50	57.55
50	74.95
64.95	74.95
64.95	67.5
65.05	67.5
65.05	75.05
50	75.05
50	77.45
62.5	77.45
62.5	77.55
50	77.55
50	80
67.5	80

4
92.6	5
92.6	75
92.5	75
92.5	5

52
92.5	80.1
74.9	80.1
74.9	-0.1
92.5	-0.1
92.5	0
75	0
75	2.45
87.5	2.45
87.5	2.55
75	2.55
75	4.95
90.05	4.95
90.05	12.5
89.95	12.5
89.95	5.05
75	5.05
75	22.45
89.95	22.45
89.95	15
90.05	15
90.05	30
89.95	30
89.95	22.55
75	22.55
75	39.95
89.95	39.95
89.95	32.5
90.05	32.5
90.05	47.5
89.95	47.5
89.95	40.05
75	40.05
75	57.45
89.95	57.45
89.95	50
90.05	50
90.05	65
89.95	65
89.95	57.55
75	57.55
75	74.95
89.95	74.95
89.95	67.5
90.05	67.5
90.05	75.05
75	75.05
75	77.45
87.5	77.45
87.5	77.55
75	77.55
75	80
92.5	80

18
1	4	0	0	5.75	3.5	4	31.75	37.5	1	1.5
2	4	0	0	5.75	39	41	31.75	37.5	39	41
3	4	0	0	5.75	78.5	79	31.75	37.5	76	76.5
1	3	0	25	30.75	3.5	4	56.75	62.5	1	1.5
2	3	0	25	30.75	39	41	56.75	62.5	39	41
3	3	0	25	30.75	78.5	79	56.75	62.5	76	76.5
1	3	1	25	30.75	1	1.5	6.75	12.5	3.5	4
2	3	1	25	30.75	39	41	6.75	12.5	39	41
3	3	1	25	30.75	76	76.5	6.75	12.5	78.5	79
1	2	0	50	55.75	3.5	4	81.75	87.5	1	1.5
2	2	0	50	55.75	39	41	81.75	87.5	39	41
3	2	0	50	55.75	78.5	79	81.75	87.5	76	76.5
1	2	1	50	55.75	1	1.5	31.75	37.5	3.5	4
2	2	1	50	55.75	39	41	31.75	37.5	39	41
3	2	1	50	55.75	76	76.5	31.75	37.5	78.5	79
1	1	1	75	80.75	1	1.5	56.75	62.5	3.5	4
2	1	1	75	80.75	39	41	56.75	62.5	39	41
3	1	1	75	80.75	76	76.5	56.75	62.5	78.5	79

16
12.5	13.75	5
12.5	31.25	5
12.5	48.75	5
12.5	66.25	5
37.5	13.75	5
37.5	31.25	5
37.5	48.75	5
37.5	66.25	5
62.5	13.75	5
62.5	31.25	5
62.5	48.75	5
62.5	66.25	5
87.5	13.75	5
87.5	31.25	5
87.5	48.75	5
87.5	66.25	5

2	
112.5	2.5	5
112.5	77.5	5

5	13.75
5	31.25
5	48.75
5	66.25
30	13.75
30	31.25
30	48.75
30	66.25
55	13.75
55	31.25
55	48.75
55	66.25
80	13.75
80	31.25
80	48.75
80	66.25

137.5	35

Road_Map_B_16_1.txt
